,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
339,Dzhebariki-Khaya,62.22,135.8,41.99,88,100,6.73,RU,1601344887
340,Assen,53.0,6.56,53.01,100,90,6.93,NL,1601344690
341,Kushima,31.46,131.23,75.2,60,20,9.17,JP,1601344888
342,Plettenberg Bay,-34.05,23.37,52.2,80,10,11.12,ZA,1601344888
343,Ankpa,7.37,7.63,71.62,96,100,8.28,NG,1601344889
344,Tiksi,71.69,128.87,35.53,78,32,22.93,RU,1601344889
345,San Vicente,-26.62,-54.13,56.23,75,0,3.96,AR,1601344815
346,Crestline,34.24,-117.29,100.4,15,5,10.29,US,1601344890
347,Brae,60.4,-1.35,51.8,87,0,10.29,GB,1601344890
348,Santa Isabel,-23.32,-46.22,71.6,73,100,5.82,BR,1601344890
349,Cayenne,4.93,-52.33,78.8,88,17,3.36,GF,1601344807
350,Takoradze,4.88,-1.76,74.77,94,100,6.62,GH,1601344891
351,Chui,-33.7,-53.46,48.92,82,0,3.96,UY,1601344891
352,Entre Rios,-11.94,-38.08,68.65,98,15,4.47,BR,1601344891
353,Tonantins,-2.87,-67.8,73.76,90,85,1.32,BR,1601344892
354,Seoul,37.57,126.98,69.8,77,100,2.24,KR,1601344640
355,São Paulo de Olivença,-3.38,-68.87,75.7,79,100,1.63,BR,1601344892
356,Eskişehir,39.78,30.52,57.2,76,32,3.36,TR,1601344853
357,Namatanai,-3.67,152.43,85.26,68,28,3.47,PG,1601344893
358,Bani Walid,31.76,13.99,72.09,80,91,8.61,LY,1601344893
359,Itarema,-2.92,-39.92,78.4,83,20,16.2,BR,1601344894
360,Saint-François,46.42,3.91,51.8,81,67,4.7,FR,1601344894
361,Leh,34.17,77.58,42.44,53,0,3.44,IN,1601344894
362,Ryōtsu-minato,38.08,138.43,69.8,64,33,9.17,JP,1601344895
363,Aklavik,68.22,-135.01,37.4,100,90,8.05,CA,1601344895
364,Cidreira,-30.18,-50.21,59.52,78,0,9.53,BR,1601344895
365,Douglas,41.3,-96.17,57.99,47,90,11.41,US,1601344835
366,Liku,-0.73,119.89,86.79,57,98,1.07,ID,1601344896
367,Alugan,12.22,125.48,85.03,69,87,5.08,PH,1601344896
368,Noumea,-22.28,166.46,66.2,77,90,13.87,NC,1601344897
369,Touros,-5.2,-35.46,75.2,88,20,3.36,BR,1601344897
370,Miraflores,19.22,-98.81,71.01,49,75,16.11,MX,1601344897
